0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:24 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:31 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:39 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:39 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:39 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:44 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:47 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:47 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:47 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:50 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:55 +0530] "GET /shoppingcart/deleteSupplier?sID=2 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:55 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:55 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:57 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:57 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:31:57 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:20 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:32 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:32 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:32 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:36 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:41 +0530] "GET /shoppingcart/deleteSupplier?sID=10 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:41 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:41 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:45 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:45 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:45 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:32:58 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:04 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:04 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:04 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:08 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:12 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:14 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:18 +0530] "GET /shoppingcart/deleteSupplier?sID=2 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:18 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:18 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:29 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/clickHome HTTP/1.1" 200 4896
