0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:29:52 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/Login?uname=1&upwd=1234 HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:01 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:23 +0530] "GET /shoppingcart/clickCart HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:23 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:23 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:23 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:15:30:38 +0530] "GET /shoppingcart/viewUserCart HTTP/1.1" 404 1038
